City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Torbay,CA,47.6666,-52.7314,77.29,71,16,4.83,few clouds
192,Muli,MV,2.9167,73.5667,82.47,74,100,15.5,overcast clouds
193,Nevsehir,TR,38.9167,34.6667,67.21,37,0,11.5,clear sky
194,Bissau,GW,11.8636,-15.5977,76.75,92,100,15.68,moderate rain
195,Kartaly,RU,53.0522,60.6467,59.11,73,1,3.11,clear sky
196,Kavaratti,IN,10.5669,72.642,81.14,77,100,19.39,overcast clouds
197,Ndele,CF,8.4109,20.6473,69.28,95,100,3.8,overcast clouds
198,Santa Fe,AR,-31.6333,-60.7,69.01,78,22,4.0,few clouds
199,Faanui,PF,-16.4833,-151.75,78.17,73,19,7.99,few clouds
200,Tuktoyaktuk,CA,69.4541,-133.0374,56.34,68,83,9.13,broken clouds
201,Yakeshi,CN,49.2833,120.7333,64.17,86,51,7.31,light rain
202,Kaduna,NG,10.5222,7.4383,69.69,96,100,5.44,overcast clouds
203,Tateyama,JP,34.9833,139.8667,78.39,83,0,16.51,clear sky
204,Padang,ID,-0.9492,100.3543,77.95,86,98,4.05,overcast clouds
205,El Real De Santa Maria,PA,8.109,-77.7325,77.32,96,95,2.21,overcast clouds
206,Airai,TL,-8.9266,125.4092,51.19,78,99,3.13,overcast clouds
207,Rangoon,MM,16.8053,96.1561,78.76,94,75,3.44,broken clouds
208,Maniitsoq,GL,65.4167,-52.9,45.03,88,83,4.38,broken clouds
209,Hobyo,SO,5.3505,48.5268,75.76,79,32,23.55,scattered clouds
210,Kahului,US,20.8947,-156.47,87.82,60,20,21.85,few clouds
211,Ruwi,OM,23.5996,58.5507,85.69,76,100,5.41,overcast clouds
212,Half Moon Bay,US,37.4636,-122.4286,89.55,76,0,19.57,clear sky
213,Broome,US,42.2506,-75.833,86.85,55,0,5.75,clear sky
214,Katsuura,JP,35.1333,140.3,79.09,82,0,19.55,clear sky
215,Krasnyy Chikoy,RU,50.3643,108.7512,55.53,90,92,1.88,overcast clouds
216,Erzin,TR,36.9559,36.2,75.85,56,0,1.97,clear sky
217,Puerto Escondido,MX,15.85,-97.0667,85.03,61,75,8.05,broken clouds
218,Kununurra,AU,-15.7667,128.7333,49.98,87,33,3.44,scattered clouds
219,Luderitz,NA,-26.6481,15.1594,58.6,68,60,14.23,broken clouds
220,San Carlos,VE,9.6612,-68.5827,80.11,85,37,2.93,scattered clouds
221,Dourbali,TD,11.8091,15.8632,78.15,78,100,8.57,moderate rain
222,Santa Maria,BR,-29.6842,-53.8069,65.91,91,94,3.6,light rain
223,Trapani,IT,37.8333,12.6667,81.28,59,0,5.26,clear sky
224,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
225,Talnakh,RU,69.4865,88.3972,63.21,55,55,4.38,broken clouds
226,Bambous Virieux,MU,-20.3428,57.7575,67.21,78,13,16.02,light rain
227,Iqaluit,CA,63.7506,-68.5145,41.05,82,98,7.72,overcast clouds
228,Deer Lake,CA,49.1667,-57.4316,75.22,85,51,9.86,broken clouds
229,Mandalgovi,MN,45.7625,106.2708,58.19,53,15,8.57,few clouds
230,Caravelas,BR,-17.7125,-39.2481,70.18,81,2,5.53,clear sky
231,Port Moresby,PG,-9.4431,147.1797,76.28,86,81,3.6,broken clouds
232,Olafsvik,IS,64.8945,-23.7142,53.91,79,22,3.33,few clouds
233,Port Hawkesbury,CA,45.6169,-61.3485,80.89,86,40,9.22,scattered clouds
234,Keti Bandar,PK,24.1447,67.4497,83.23,86,90,16.93,overcast clouds
235,Bonthe,SL,7.5264,-12.505,77.2,83,93,9.98,overcast clouds
236,Cidreira,BR,-30.1811,-50.2056,63.1,93,97,5.53,overcast clouds
237,Mount Gambier,AU,-37.8333,140.7667,51.08,97,100,8.72,light rain
238,Cururupu,BR,-1.8283,-44.8683,75.11,90,67,3.36,broken clouds
239,Roald,NO,62.5833,6.1333,57.33,82,40,18.41,scattered clouds
240,Lubumbashi,CD,-11.6609,27.4794,60.49,50,19,5.88,few clouds
241,Hervey Bay,AU,-25.2986,152.8535,63.27,77,100,18.43,overcast clouds
242,Isangel,VU,-19.55,169.2667,77.59,81,100,13.38,moderate rain
243,Mayo,US,38.8876,-76.5119,96.37,61,0,6.91,clear sky
244,Grand Island,US,40.925,-98.342,97.09,50,0,11.5,clear sky
245,Gizo,SB,-8.103,156.8419,82.63,72,2,6.71,light rain
246,San Patricio,US,28.017,-97.5169,97.52,43,2,16.62,clear sky
